Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2022-11-03 09:00 PM,2022,11,03,21,-999.0,-999,N/A,48.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-03 10:00 PM,2022,11,03,22,49.0,134,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-03 11:00 PM,2022,11,03,23,60.0,153,Unhealthy,72.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 12:00 AM,2022,11,04,00,60.0,153,Unhealthy,60.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 01:00 AM,2022,11,04,01,65.6,156,Unhealthy,74.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 02:00 AM,2022,11,04,02,57.9,152,Unhealthy,46.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 03:00 AM,2022,11,04,03,48.4,133,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 04:00 AM,2022,11,04,04,48.6,133,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 05:00 AM,2022,11,04,05,50.7,138,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 06:00 AM,2022,11,04,06,48.9,134,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 07:00 AM,2022,11,04,07,51.8,141,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 08:00 AM,2022,11,04,08,55.6,151,Unhealthy,60.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 09:00 AM,2022,11,04,09,51.1,139,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 10:00 AM,2022,11,04,10,36.9,104,Unhealthy for Sensitive Groups,23.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 11:00 AM,2022,11,04,11,30.9,91,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 12:00 PM,2022,11,04,12,28.9,86,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 01:00 PM,2022,11,04,13,31.4,92,Moderate,34.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 02:00 PM,2022,11,04,14,32.7,94,Moderate,34.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 03:00 PM,2022,11,04,15,38.3,108,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 04:00 PM,2022,11,04,16,35.6,101,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 05:00 PM,2022,11,04,17,28.8,86,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 06:00 PM,2022,11,04,18,24.4,77,Moderate,20.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 07:00 PM,2022,11,04,19,29.2,87,Moderate,34.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 08:00 PM,2022,11,04,20,27.0,82,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 09:00 PM,2022,11,04,21,27.0,82,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 10:00 PM,2022,11,04,22,24.0,76,Moderate,21.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-04 11:00 PM,2022,11,04,23,21.0,70,Moderate,18.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 12:00 AM,2022,11,05,00,24.5,77,Moderate,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 01:00 AM,2022,11,05,01,28.2,85,Moderate,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 02:00 AM,2022,11,05,02,32.6,94,Moderate,37.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 03:00 AM,2022,11,05,03,28.8,86,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 04:00 AM,2022,11,05,04,32.9,95,Moderate,37.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 05:00 AM,2022,11,05,05,38.9,109,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 06:00 AM,2022,11,05,06,36.4,103,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 07:00 AM,2022,11,05,07,34.7,99,Moderate,33.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 08:00 AM,2022,11,05,08,33.8,97,Moderate,33.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 09:00 AM,2022,11,05,09,30.9,91,Moderate,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 10:00 AM,2022,11,05,10,29.4,87,Moderate,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 11:00 AM,2022,11,05,11,34.3,98,Moderate,40.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 12:00 PM,2022,11,05,12,38.2,108,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 01:00 PM,2022,11,05,13,33.2,95,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 02:00 PM,2022,11,05,14,29.5,88,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 03:00 PM,2022,11,05,15,33.3,96,Moderate,38.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 04:00 PM,2022,11,05,16,27.7,84,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 05:00 PM,2022,11,05,17,29.3,87,Moderate,31.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 06:00 PM,2022,11,05,18,34.0,97,Moderate,39.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 07:00 PM,2022,11,05,19,37.4,106,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 08:00 PM,2022,11,05,20,46.2,127,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 09:00 PM,2022,11,05,21,55.6,151,Unhealthy,65.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 10:00 PM,2022,11,05,22,44.3,123,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-05 11:00 PM,2022,11,05,23,35.6,101,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 12:00 AM,2022,11,06,00,31.3,91,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 01:00 AM,2022,11,06,01,33.1,95,Moderate,35.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 02:00 AM,2022,11,06,02,37.5,106,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 03:00 AM,2022,11,06,03,41.7,116,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 04:00 AM,2022,11,06,04,38.8,109,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 05:00 AM,2022,11,06,05,36.4,103,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 06:00 AM,2022,11,06,06,37.7,106,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 07:00 AM,2022,11,06,07,40.3,113,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 08:00 AM,2022,11,06,08,36.1,102,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 09:00 AM,2022,11,06,09,33.8,97,Moderate,30.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 10:00 AM,2022,11,06,10,31.4,92,Moderate,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 11:00 AM,2022,11,06,11,30.0,89,Moderate,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 12:00 PM,2022,11,06,12,29.7,88,Moderate,29.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 01:00 PM,2022,11,06,13,26.0,80,Moderate,23.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 02:00 PM,2022,11,06,14,18.0,63,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 03:00 PM,2022,11,06,15,18.5,64,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 04:00 PM,2022,11,06,16,15.7,59,Moderate,13.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 05:00 PM,2022,11,06,17,15.8,59,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 06:00 PM,2022,11,06,18,18.4,64,Moderate,21.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 07:00 PM,2022,11,06,19,28.2,85,Moderate,38.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 08:00 PM,2022,11,06,20,48.1,132,Unhealthy for Sensitive Groups,68.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 09:00 PM,2022,11,06,21,56.0,151,Unhealthy,64.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 10:00 PM,2022,11,06,22,44.5,123,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-06 11:00 PM,2022,11,06,23,40.7,114,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 12:00 AM,2022,11,07,00,42.8,119,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 01:00 AM,2022,11,07,01,43.9,122,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 02:00 AM,2022,11,07,02,35.9,102,Unhealthy for Sensitive Groups,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 03:00 AM,2022,11,07,03,26.4,81,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 04:00 AM,2022,11,07,04,21.2,70,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 05:00 AM,2022,11,07,05,19.1,66,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 06:00 AM,2022,11,07,06,21.5,71,Moderate,24.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 07:00 AM,2022,11,07,07,26.7,82,Moderate,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 08:00 AM,2022,11,07,08,37.3,105,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 09:00 AM,2022,11,07,09,35.1,99,Moderate,33.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 10:00 AM,2022,11,07,10,37.5,106,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 11:00 AM,2022,11,07,11,26.2,81,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 12:00 PM,2022,11,07,12,23.1,74,Moderate,20.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 01:00 PM,2022,11,07,13,23.5,75,Moderate,24.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 02:00 PM,2022,11,07,14,29.2,87,Moderate,35.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 03:00 PM,2022,11,07,15,27.6,84,Moderate,26.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 04:00 PM,2022,11,07,16,32.3,93,Moderate,37.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 05:00 PM,2022,11,07,17,33.6,96,Moderate,35.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 06:00 PM,2022,11,07,18,42.3,118,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 07:00 PM,2022,11,07,19,53.6,146,Unhealthy for Sensitive Groups,65.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 08:00 PM,2022,11,07,20,58.8,153,Unhealthy,64.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 09:00 PM,2022,11,07,21,56.9,152,Unhealthy,55.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 10:00 PM,2022,11,07,22,58.4,152,Unhealthy,60.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-07 11:00 PM,2022,11,07,23,55.7,151,Unhealthy,53.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 12:00 AM,2022,11,08,00,55.3,150,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 01:00 AM,2022,11,08,01,55.1,149,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 02:00 AM,2022,11,08,02,59.5,153,Unhealthy,64.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 03:00 AM,2022,11,08,03,90.8,169,Unhealthy,122.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 04:00 AM,2022,11,08,04,102.9,175,Unhealthy,115.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 05:00 AM,2022,11,08,05,87.9,168,Unhealthy,73.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 06:00 AM,2022,11,08,06,71.4,159,Unhealthy,55.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 07:00 AM,2022,11,08,07,60.2,153,Unhealthy,49.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 08:00 AM,2022,11,08,08,55.6,151,Unhealthy,51.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 09:00 AM,2022,11,08,09,43.8,121,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 10:00 AM,2022,11,08,10,31.3,91,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 11:00 AM,2022,11,08,11,32.1,93,Moderate,33.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 12:00 PM,2022,11,08,12,35.0,99,Moderate,38.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 01:00 PM,2022,11,08,13,44.5,123,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 02:00 PM,2022,11,08,14,42.7,119,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 03:00 PM,2022,11,08,15,32.3,93,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 04:00 PM,2022,11,08,16,33.1,95,Moderate,34.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 05:00 PM,2022,11,08,17,34.5,98,Moderate,36.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 06:00 PM,2022,11,08,18,29.7,88,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 07:00 PM,2022,11,08,19,31.3,91,Moderate,33.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 08:00 PM,2022,11,08,20,35.1,99,Moderate,39.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 09:00 PM,2022,11,08,21,37.5,106,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 10:00 PM,2022,11,08,22,35.8,102,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-08 11:00 PM,2022,11,08,23,36.4,103,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-09 12:00 AM,2022,11,09,00,38.2,108,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-09 01:00 AM,2022,11,09,01,39.9,112,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-09 02:00 AM,2022,11,09,02,44.5,123,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-09 03:00 AM,2022,11,09,03,47.2,130,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-09 04:00 AM,2022,11,09,04,49.1,134,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-09 05:00 AM,2022,11,09,05,52.5,143,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-09 06:00 AM,2022,11,09,06,53.3,145,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-09 07:00 AM,2022,11,09,07,52.2,142,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2022-11-09 08:00 AM,2022,11,09,08,45.4,125,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
