tanggal,lokasi,pm25,aqi,kategori,temperatur,curah_hujan,jarak_pandang,kecepatan_angin
2016-01-01,Jakarta Selatan,22.3,72.5,Sedang,28.11,0.0,4.1,3.3
2016-01-01,Jakarta Pusat,31.4,91.6,Sedang,28.11,0.0,4.1,3.3
2016-01-02,Jakarta Pusat,31.0,90.7,Sedang,27.44,15.24,3.9,3.2
2016-01-02,Jakarta Selatan,37.05,104.8,Tidak Sehat Untuk Kelompok Rentan,27.44,15.24,3.9,3.2
2016-01-03,Jakarta Selatan,18.65,64.8,Sedang,29.0,0.0,4.3,3.6
2016-01-03,Jakarta Pusat,27.4,83.2,Sedang,29.0,0.0,4.3,3.6
2016-01-04,Jakarta Selatan,42.25,117.6,Tidak Sehat Untuk Kelompok Rentan,29.17,0.0,4.1,3.3
2016-01-04,Jakarta Pusat,52.8,143.6,Tidak Sehat Untuk Kelompok Rentan,29.17,0.0,4.1,3.3
2016-01-05,Jakarta Pusat,60.75,153.7,Tidak Sehat,28.44,11.94,4.0,2.3
2016-01-05,Jakarta Selatan,76.2,161.7,Tidak Sehat,28.44,11.94,4.0,2.3
2016-01-06,Jakarta Pusat,36.1,102.5,Tidak Sehat Untuk Kelompok Rentan,28.89,0.25,4.3,2.3
2016-01-06,Jakarta Selatan,33.9,96.8,Sedang,28.89,0.25,4.3,2.3
2016-01-07,Jakarta Pusat,37.9,106.9,Tidak Sehat Untuk Kelompok Rentan,30.17,0.0,4.3,3.9
2016-01-07,Jakarta Selatan,42.1,117.3,Tidak Sehat Untuk Kelompok Rentan,30.17,0.0,4.3,3.9
2016-01-08,Jakarta Pusat,28.8,86.1,Sedang,29.83,0.0,4.3,3.0
2016-01-08,Jakarta Selatan,19.4,66.4,Sedang,29.83,0.0,4.3,3.0
2016-01-09,Jakarta Pusat,44.9,124.1,Tidak Sehat Untuk Kelompok Rentan,29.28,0.0,4.2,4.2
2016-01-09,Jakarta Selatan,26.95,82.2,Sedang,29.28,0.0,4.2,4.2
2016-01-10,Jakarta Pusat,49.55,135.6,Tidak Sehat Untuk Kelompok Rentan,29.5,0.0,4.2,2.7
2016-01-10,Jakarta Selatan,45.85,126.5,Tidak Sehat Untuk Kelompok Rentan,29.5,0.0,4.2,2.7
2016-01-11,Jakarta Pusat,49.55,135.6,Tidak Sehat Untuk Kelompok Rentan,29.78,0.0,4.3,2.4
2016-01-11,Jakarta Selatan,39.55,111.0,Tidak Sehat Untuk Kelompok Rentan,29.78,0.0,4.3,2.4
2016-01-12,Jakarta Pusat,38.7,108.9,Tidak Sehat Untuk Kelompok Rentan,28.5,5.08,4.0,2.0
2016-01-12,Jakarta Selatan,55.05,149.1,Tidak Sehat Untuk Kelompok Rentan,28.5,5.08,4.0,2.0
2016-01-13,Jakarta Selatan,32.5,93.9,Sedang,28.5,1.02,4.1,3.2
2016-01-13,Jakarta Pusat,46.6,128.3,Tidak Sehat Untuk Kelompok Rentan,28.5,1.02,4.1,3.2
2016-01-14,Jakarta Selatan,25.85,79.9,Sedang,29.67,0.0,4.3,2.7
2016-01-14,Jakarta Pusat,32.85,94.6,Sedang,29.67,0.0,4.3,2.7
2016-01-15,Jakarta Selatan,29.3,87.2,Sedang,29.5,0.25,4.2,2.6
2016-01-15,Jakarta Pusat,47.7,131.0,Tidak Sehat Untuk Kelompok Rentan,29.5,0.25,4.2,2.6
2016-01-16,Jakarta Pusat,51.35,140.0,Tidak Sehat Untuk Kelompok Rentan,29.44,0.0,4.0,1.2
2016-01-16,Jakarta Selatan,40.65,113.7,Tidak Sehat Untuk Kelompok Rentan,29.44,0.0,4.0,1.2
2016-01-17,Jakarta Selatan,56.6,151.6,Tidak Sehat,29.33,0.0,3.9,2.8
2016-01-17,Jakarta Pusat,66.05,156.4,Tidak Sehat,29.33,0.0,3.9,2.8
2016-01-18,Jakarta Pusat,54.3,147.3,Tidak Sehat Untuk Kelompok Rentan,29.28,0.0,4.1,2.6
2016-01-18,Jakarta Selatan,53.8,146.1,Tidak Sehat Untuk Kelompok Rentan,29.28,0.0,4.1,2.6
2016-01-19,Jakarta Pusat,52.9,143.8,Tidak Sehat Untuk Kelompok Rentan,28.61,0.0,4.0,3.3
2016-01-19,Jakarta Selatan,56.05,151.3,Tidak Sehat,28.61,0.0,4.0,3.3
2016-01-20,Jakarta Selatan,31.9,92.6,Sedang,27.17,0.25,4.0,3.0
2016-01-20,Jakarta Pusat,36.5,103.5,Tidak Sehat Untuk Kelompok Rentan,27.17,0.25,4.0,3.0
2016-01-21,Jakarta Pusat,15.65,58.5,Sedang,28.44,0.76,3.8,1.7
2016-01-21,Jakarta Selatan,48.0,131.8,Tidak Sehat Untuk Kelompok Rentan,28.44,0.76,3.8,1.7
2016-01-22,Jakarta Selatan,2.25,9.4,Baik,28.33,4.32,3.8,2.6
2016-01-22,Jakarta Pusat,42.35,117.9,Tidak Sehat Untuk Kelompok Rentan,28.33,4.32,3.8,2.6
2016-01-23,Jakarta Selatan,5.8,24.2,Baik,26.56,10.92,3.9,1.8
2016-01-23,Jakarta Pusat,24.9,77.9,Sedang,26.56,10.92,3.9,1.8
2016-01-24,Jakarta Selatan,23.65,75.3,Sedang,27.06,24.89,3.9,3.1
2016-01-24,Jakarta Pusat,14.6,56.3,Sedang,27.06,24.89,3.9,3.1
2016-01-25,Jakarta Pusat,27.35,83.1,Sedang,25.89,6.6,3.7,0.8
2016-01-25,Jakarta Selatan,8.15,34.0,Baik,25.89,6.6,3.7,0.8
2016-01-26,Jakarta Pusat,38.35,108.0,Tidak Sehat Untuk Kelompok Rentan,28.39,0.0,4.1,2.5
2016-01-26,Jakarta Selatan,14.5,56.0,Sedang,28.39,0.0,4.1,2.5
2016-01-27,Jakarta Pusat,67.2,157.0,Tidak Sehat,28.72,0.0,4.1,3.1
2016-01-27,Jakarta Selatan,53.3,144.8,Tidak Sehat Untuk Kelompok Rentan,28.72,0.0,4.1,3.1
2016-01-28,Jakarta Pusat,45.2,124.9,Tidak Sehat Untuk Kelompok Rentan,29.0,0.0,4.0,3.6
2016-01-28,Jakarta Selatan,26.65,81.6,Sedang,29.0,0.0,4.0,3.6
2016-01-29,Jakarta Pusat,46.95,129.2,Tidak Sehat Untuk Kelompok Rentan,29.33,0.0,4.3,3.4
2016-01-29,Jakarta Selatan,25.85,79.9,Sedang,29.33,0.0,4.3,3.4
2016-01-30,Jakarta Pusat,39.0,109.6,Tidak Sehat Untuk Kelompok Rentan,28.89,0.0,3.9,3.4
2016-01-30,Jakarta Selatan,10.75,44.8,Baik,28.89,0.0,3.9,3.4
2016-01-31,Jakarta Selatan,2.4,10.0,Baik,27.89,7.11,4.2,3.3
2016-01-31,Jakarta Pusat,24.75,77.6,Sedang,27.89,7.11,4.2,3.3
2016-02-01,Jakarta Selatan,7.55,31.5,Baik,27.39,65.02,3.7,2.4
2016-02-01,Jakarta Pusat,29.75,88.1,Sedang,27.39,65.02,3.7,2.4
2016-02-02,Jakarta Selatan,33.5,96.0,Sedang,27.72,2.03,4.0,3.4
2016-02-02,Jakarta Pusat,13.75,54.5,Sedang,27.72,2.03,4.0,3.4
2016-02-03,Jakarta Pusat,14.1,55.2,Sedang,28.94,0.0,4.0,3.8
2016-02-03,Jakarta Selatan,30.4,89.5,Sedang,28.94,0.0,4.0,3.8
2016-02-04,Jakarta Selatan,21.0,69.7,Sedang,28.39,0.51,4.0,1.1
2016-02-04,Jakarta Pusat,37.75,106.5,Tidak Sehat Untuk Kelompok Rentan,28.39,0.51,4.0,1.1
2016-02-05,Jakarta Pusat,24.95,78.0,Sedang,28.78,3.05,4.0,2.0
2016-02-05,Jakarta Selatan,33.15,95.3,Sedang,28.78,3.05,4.0,2.0
2016-02-06,Jakarta Selatan,50.8,138.7,Tidak Sehat Untuk Kelompok Rentan,28.67,5.08,4.3,2.3
2016-02-06,Jakarta Pusat,36.45,103.3,Tidak Sehat Untuk Kelompok Rentan,28.67,5.08,4.3,2.3
2016-02-07,Jakarta Pusat,20.9,69.5,Sedang,28.28,4.06,4.0,3.4
2016-02-07,Jakarta Selatan,43.0,119.5,Tidak Sehat Untuk Kelompok Rentan,28.28,4.06,4.0,3.4
2016-02-08,Jakarta Pusat,5.7,23.8,Baik,27.22,11.94,3.9,3.6
2016-02-08,Jakarta Selatan,26.3,80.9,Sedang,27.22,11.94,3.9,3.6
2016-02-09,Jakarta Selatan,3.3,13.8,Baik,26.61,52.07,3.9,3.0
2016-02-09,Jakarta Pusat,15.1,57.3,Sedang,26.61,52.07,3.9,3.0
2016-02-10,Jakarta Pusat,17.5,62.4,Sedang,27.44,0.0,4.1,2.3
2016-02-10,Jakarta Selatan,20.85,69.4,Sedang,27.44,0.0,4.1,2.3
2016-02-11,Jakarta Selatan,24.0,76.0,Sedang,27.11,12.95,3.9,1.0
2016-02-11,Jakarta Pusat,17.15,61.6,Sedang,27.11,12.95,3.9,1.0
2016-02-12,Jakarta Selatan,34.25,97.6,Sedang,26.17,11.68,3.7,1.3
2016-02-12,Jakarta Pusat,16.05,59.3,Sedang,26.17,11.68,3.7,1.3
2016-02-13,Jakarta Selatan,39.5,110.8,Tidak Sehat Untuk Kelompok Rentan,28.22,0.0,4.1,2.4
2016-02-13,Jakarta Pusat,58.0,152.3,Tidak Sehat,28.22,0.0,4.1,2.4
2016-02-14,Jakarta Selatan,35.5,113.8,Tidak Sehat Untuk Kelompok Rentan,27.33,5.08,4.1,2.8
2016-02-14,Jakarta Pusat,34.6,98.3,Sedang,27.33,5.08,4.1,2.8
2016-02-15,Jakarta Pusat,32.65,94.2,Sedang,28.56,0.0,4.1,3.2
2016-02-15,Jakarta Selatan,46.7,128.6,Tidak Sehat Untuk Kelompok Rentan,28.56,0.0,4.1,3.2
2016-02-16,Jakarta Pusat,18.95,65.4,Sedang,27.83,0.0,3.9,3.1
2016-02-16,Jakarta Selatan,33.25,95.5,Sedang,27.83,0.0,3.9,3.1
2016-02-17,Jakarta Selatan,16.3,59.8,Sedang,27.5,0.51,3.9,2.6
2016-02-17,Jakarta Pusat,28.3,85.1,Sedang,27.5,0.51,3.9,2.6
2016-02-18,Jakarta Selatan,37.65,106.3,Tidak Sehat Untuk Kelompok Rentan,28.67,0.0,4.5,3.4
2016-02-18,Jakarta Pusat,46.2,127.3,Tidak Sehat Untuk Kelompok Rentan,28.67,0.0,4.5,3.4
2016-02-19,Jakarta Selatan,50.4,137.7,Tidak Sehat Untuk Kelompok Rentan,28.56,0.25,4.0,1.6
2016-02-19,Jakarta Pusat,56.7,151.6,Tidak Sehat,28.56,0.25,4.0,1.6
2016-02-20,Jakarta Selatan,70.75,158.9,Tidak Sehat,28.33,0.0,4.0,1.6
2016-02-20,Jakarta Pusat,45.2,124.9,Tidak Sehat Untuk Kelompok Rentan,28.33,0.0,4.0,1.6
2016-02-21,Jakarta Pusat,30.9,90.5,Sedang,28.61,1.02,4.0,2.3
2016-02-21,Jakarta Selatan,51.35,140.0,Tidak Sehat Untuk Kelompok Rentan,28.61,1.02,4.0,2.3
2016-02-22,Jakarta Selatan,23.8,75.6,Sedang,28.78,0.0,4.0,4.0
2016-02-22,Jakarta Pusat,37.75,106.5,Tidak Sehat Untuk Kelompok Rentan,28.78,0.0,4.0,4.0
2016-02-23,Jakarta Selatan,41.7,116.3,Tidak Sehat Untuk Kelompok Rentan,28.78,0.0,4.0,3.4
2016-02-23,Jakarta Pusat,49.1,134.5,Tidak Sehat Untuk Kelompok Rentan,28.78,0.0,4.0,3.4
2016-02-24,Jakarta Selatan,26.6,81.5,Sedang,27.78,72.9,3.3,4.2
2016-02-24,Jakarta Pusat,47.55,130.7,Tidak Sehat Untuk Kelompok Rentan,27.78,72.9,3.3,4.2
2016-02-25,Jakarta Pusat,14.6,56.3,Sedang,26.94,28.96,3.4,3.9
2016-02-25,Jakarta Selatan,22.05,71.9,Sedang,26.94,28.96,3.4,3.9
2016-02-26,Jakarta Selatan,20.55,68.8,Sedang,27.22,3.05,4.0,2.4
